Barrio,Código distrito,Código barrio,Personas,Superficie (hm²),Densidad de población (p / hm²),Porcentaje +65 años,Edad media,Índice de envejecimiento,Índice de sobreenvejecimiento,Índice de estructura de la población activa,Porcentaje de población extranjera,Tasa bruta de natalidad,Tasa bruta de mortalidad,Tasa bruta de emigración intraurbana,Tasa bruta de emigración interurbana,Tasa general de fecundidad,Período de mayor construcción de inmuebles,Sup. construida media (m²),Valor catastral máxima frecuencia (miles euros),Valor por m²,Coeficiente derecha - izquierda,Cluster
BENIMAMET,18,1,13559.0,147.719,91.7891401918507,19.61059075153035,43.8,138.1,13.3,136.0,15.3,2.2,58.8,8.6,30.5,43.3,1970.0,114.579794573049,42.0,309.030228742206,0.8609920391916718,1
BENIFERRI,18,2,1199.0,53.394,22.4557066337042,16.263552960800666,41.1,87.4,7.2,147.2,11.0,29.5,64.1,5.1,36.3,28.7,2005.0,177.864440078585,80.0,379.917989131035,1.7058823529411764,4
EL FORN D'ALCEDO,19,1,1320.0,120.089,10.9918477129462,21.818181818181817,45.1,157.4,16.0,140.5,15.4,125.3,56.1,4.6,18.5,30.0,1970.0,130.807692307692,21.0,228.382075977654,1.0333333333333334,0
CASTELLAR-L'OLIVERAL,19,2,6790.0,298.973,22.7110809337298,23.033873343151694,45.9,169.6,14.8,157.1,9.4,15.3,27.2,12.2,22.8,19.9,1970.0,142.854322464852,42.0,283.489769181803,1.6614699331848553,0
PINEDO,19,3,2616.0,652.65,4.00827396000919,23.547400611620795,46.4,173.5,16.4,146.3,10.1,32.6,36.4,12.3,31.5,21.9,1970.0,133.794162826421,42.0,301.999751205511,1.5820895522388059,0
EL SALER,19,4,1930.0,824.754,2.34009171219539,19.533678756476682,43.4,118.2,7.7,162.0,14.8,12.5,63.8,6.8,46.0,39.2,1970.0,117.756874095514,54.0,423.959823071566,1.061965811965812,4
EL PALMAR,19,5,749.0,3696.154,0.202643071690195,29.906542056074763,49.2,238.3,20.1,153.5,6.0,101.9,13.2,13.2,29.1,29.1,1970.0,156.457142857143,21.0,287.717921384222,0.9595141700404858,0
EL PERELLONET,19,6,1475.0,492.815,2.99300954719317,20.06779661016949,45.8,149.5,8.1,200.0,8.0,165.4,56.7,6.1,70.2,47.2,1970.0,109.276292725679,42.0,437.132096876711,1.6166666666666667,1
LA TORRE,19,7,4969.0,41.956,118.433597101726,21.674381163211915,44.5,159.6,10.5,128.2,21.5,17.3,69.1,5.7,33.7,52.2,1970.0,101.706330128205,27.0,285.234912136265,0.8877043354655295,1
FAITANAR,19,8,1668.0,490.252,3.40233186198119,7.194244604316546,37.3,43.5,14.2,98.1,20.4,65.1,89.0,2.5,40.5,65.1,2015.0,142.720043572985,66.0,351.715479288947,0.8877043354655295,4
